m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.073824,454.519,0.312352,107.425
512,512,512,0.139264,1927.53,0.35648,753.017
768,768,768,0.205312,4412.65,0.452736,2001.1
1024,1024,1024,0.268608,7994.86,0.432,4971.03
1280,1280,1280,0.615168,6818.14,0.421824,9943.26
1536,1536,1536,0.739648,9798.93,0.456832,15865.3
1792,1792,1792,1.29878,8861.5,0.552224,20841.5
2048,2048,2048,1.93725,8868.18,0.654208,26260.6
2304,2304,2304,2.74035,8926.29,0.83472,29304.7
2560,2560,2560,3.60666,9303.47,0.829184,40466.8
2816,2816,2816,4.65478,9594.63,1.00509,44434.9
3072,3072,3072,5.7681,10052.2,1.26141,45966.1
3328,3328,3328,7.07117,10425.3,1.42413,51764.4
3584,3584,3584,8.43354,10917.5,1.6296,56500.6
3840,3840,3840,10.7895,10496,1.94352,58268.6
4096,4096,4096,13.433,10231.4,1.87091,73460.9
4352,4352,4352,15.0754,10935.2,2.20829,74651.9
4608,4608,4608,16.484,11871.5,2.48144,78861.2
4864,4864,4864,21.658,10626.5,2.80752,81976.2
5120,5120,5120,23.933,11216.1,3.12742,85832.8
5376,5376,5376,28.942,10736.9,3.61974,85847.9
5632,5632,5632,30.0727,11880.8,4.05446,88122
5888,5888,5888,33.9367,12029.9,4.4616,91504.6
6144,6144,6144,39.3241,11795.7,5.13677,90301.2
