m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.02112,1588.75,0.38128,88.0047
512,512,512,0.029472,9108.15,0.383456,700.042
768,768,768,0.037856,23932,0.458208,1977.2
1024,1024,1024,0.052768,40696.7,0.439904,4881.71
1280,1280,1280,0.090592,46298.8,0.454912,9220.03
1536,1536,1536,0.104832,69136.9,0.48544,14930.3
1792,1792,1792,0.200128,57509,0.583808,19714
2048,2048,2048,0.260992,65825.3,0.616576,27863.3
2304,2304,2304,0.381312,64150,0.81264,30100.9
2560,2560,2560,0.481504,69686.7,0.8472,39606.3
2816,2816,2816,0.634368,70402.3,0.999904,44665.2
3072,3072,3072,0.762528,76039.3,1.30445,44449.5
3328,3328,3328,0.960864,76721.7,1.40883,52326.4
3584,3584,3584,1.0888,84564.1,1.63837,56198.2
3840,3840,3840,1.42022,79738.3,2.00646,56440.7
4096,4096,4096,1.70838,80449.7,2.00314,68611.9
4352,4352,4352,2.13146,77342.9,2.24947,73285.2
4608,4608,4608,2.40797,81267.5,2.64829,73892.8
4864,4864,4864,2.80118,82161.6,3.09469,74369.3
5120,5120,5120,3.10122,86558.1,3.30397,81246.4
5376,5376,5376,3.75824,82684.3,3.99773,77731
5632,5632,5632,4.27174,83639.8,4.39834,81232.4
5888,5888,5888,4.84275,84302.6,4.90406,83248.7
6144,6144,6144,5.60419,82769.6,5.62528,82459.3
