m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.027648,1213.63,0.940032,35.695
512,512,512,0.039936,6721.64,1.05472,254.509
768,768,768,0.049152,18432,1.03834,872.521
1024,1024,1024,0.058368,36792.1,0.739328,2904.64
1280,1280,1280,0.069632,60235.3,1.05984,3957.49
1536,1536,1536,0.115712,62636.2,1.08339,6689.88
1792,1792,1792,0.110592,104069,1.0793,10663.6
2048,2048,2048,0.203776,84307.6,1.21242,14169.9
2304,2304,2304,0.22528,108581,1.02195,23935.7
2560,2560,2560,0.251904,133203,1.18886,28223.9
2816,2816,2816,0.405504,110137,1.37011,32596.6
3072,3072,3072,0.462848,125272,1.31994,43927.9
3328,3328,3328,0.585728,125859,1.16019,63540.4
3584,3584,3584,0.679936,135415,1.70189,54100.7
3840,3840,3840,0.835584,135529,1.92205,58919.6
4096,4096,4096,0.979968,140248,1.84525,74482.6
4352,4352,4352,1.12026,147156,1.97018,83674.2
4608,4608,4608,1.4807,132160,2.19341,89217.1
4864,4864,4864,1.49709,153732,2.51904,91364.1
5120,5120,5120,1.72544,155575,2.61427,102681
5376,5376,5376,2.03776,152495,3.00339,103466
5632,5632,5632,2.40947,148285,3.1703,112698
5888,5888,5888,2.77709,147009,3.58093,114009
6144,6144,6144,3.03923,152623,4.0704,113958
