m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.02144,1565.04,0.343712,97.6237
512,512,512,0.029472,9108.15,0.393664,681.89
768,768,768,0.043744,20710.7,0.386336,2345.03
1024,1024,1024,0.05584,38457.8,0.405536,5295.42
1280,1280,1280,0.091616,45781.3,0.44992,9322.33
1536,1536,1536,0.110592,65536,0.412352,17576.6
1792,1792,1792,0.20896,55078.3,0.472352,24365.7
2048,2048,2048,0.266848,64380.7,0.58976,29130.3
2304,2304,2304,0.39648,61695.9,0.782624,31255.3
2560,2560,2560,0.494624,67838.3,0.791776,42378.7
2816,2816,2816,0.64992,68717.6,0.987264,45237.1
3072,3072,3072,0.791552,73251.1,1.2088,47966.6
3328,3328,3328,0.964,76472.1,1.35546,54386.9
3584,3584,3584,1.0983,83832.3,1.58918,57937.5
3840,3840,3840,1.43606,78858.7,1.96112,57745.7
4096,4096,4096,1.70426,80644.5,1.95766,70205.6
4352,4352,4352,2.14294,76928.2,2.25699,73041
4608,4608,4608,2.41978,80870.9,2.65878,73601.1
4864,4864,4864,2.82502,81468.3,3.00672,76545.2
5120,5120,5120,3.25485,82472.5,3.26138,82307.4
5376,5376,5376,3.7593,82661.1,3.87235,80247.8
5632,5632,5632,4.27005,83673,4.39299,81331.3
5888,5888,5888,4.93757,82683.8,4.91091,83132.6
6144,6144,6144,5.54867,83597.7,5.4007,85888.2
6400,6400,6400,6.21434,84367.5,6.17517,84902.6
6656,6656,6656,6.81456,86543,6.81062,86593
6912,6912,6912,7.96138,82957,7.69843,85790.4
7168,7168,7168,16.314,45150.6,7.57894,97188.6
7424,7424,7424,13.2042,61977.1,8.4399,96963.1
7680,7680,7680,20.8829,43383.4,9.29203,97499.6
7936,7936,7936,10.6259,94074.3,10.2164,97844.2
8192,8192,8192,11.7121,93878,11.1784,98360.4
8448,8448,8448,18.2181,66189.3,12.2448,98477.9
8704,8704,8704,32.8698,40122.6,13.0378,101154
8960,8960,8960,35.3123,40740.6,14.2859,100704
9216,9216,9216,40.7518,38415.9,16.1487,96943.9
9472,9472,9472,43.9932,38634,17.5427,96885.7
9728,9728,9728,46.8361,39311.6,19.0139,96834.3
9984,9984,9984,50.1924,39655.7,20.4598,97284.3
10240,10240,10240,54.9739,39063.7,21.9204,97967.3
10496,10496,10496,59.1743,39081.2,23.7857,97226.7
10752,10752,10752,64.5642,38504,25.4796,97567.3
11008,11008,11008,68.7261,38818,29.1181,91620.4
11264,11264,11264,77.5312,36866.4,31.5143,90698.4
11520,11520,11520,80.0209,38210.6,33.5298,91192
11776,11776,11776,86.0401,37959.7,35.2912,92545.9
12032,12032,12032,90.8267,38355.7,37.5838,92692.1
12288,12288,12288,101.556,36540,41.4508,89524.4
12544,12544,12544,102.738,38424.4,43.5342,90679.1
12800,12800,12800,111.072,37762.2,46.1971,90791.5
13056,13056,13056,118.704,37496.9,48.7886,91230.8
13312,13312,13312,128.079,36836.9,51.8238,91039.7
13568,13568,13568,131.131,38095.3,54.5213,91624.5
13824,13824,13824,141.446,37354.3,57.648,91653
14080,14080,14080,148.231,37661.5,60.8959,91674.8
14336,14336,14336,160.246,36772.9,56.3153,104638
14592,14592,14592,165.839,37470.3,59.8376,103848
14848,14848,14848,175.854,37229,62.7646,104308
15104,15104,15104,186.201,37010.4,66.0405,104351
15360,15360,15360,195.783,37019.4,69.0386,104981
15616,15616,15616,204.626,37220.1,73.4009,103762
15872,15872,15872,214.772,37234.6,76.4458,104610
16128,16128,16128,224.186,37425.1,80.6338,104053
16384,16384,16384,236.167,37245.2,84.2638,104388
16640,16640,16640,248.484,37084.4,91.2577,100977
16896,16896,16896,258.171,37365.8,102.539,94079.3
17152,17152,17152,274.631,36747.3,99.0585,101879
17408,17408,17408,287.919,36644.3,103.919,101527
17664,17664,17664,299.431,36812.9,108.945,101179
17920,17920,17920,310.859,37023.7,121.885,94426.8
18176,18176,18176,323.352,37140.7,118.616,101247
18432,18432,18432,340.973,36730.6,123.662,101277
18688,18688,18688,355.18,36751,129.336,100925
18944,18944,18944,367.976,36950.9,143.15,94984.4
19200,19200,19200,388.048,36479.5,149.868,94455.1
19456,19456,19456,406.559,36229.9,148.707,99051.3
19712,19712,19712,417.886,36657.6,162.421,94314.9
19968,19968,19968,438.014,36353.4,168.575,94458.4
20224,20224,20224,444.65,37206,174.45,94833.4
20480,20480,20480,470.635,36503.6,170.578,100716
