m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.116736,287.439,1.60768,20.8713
512,512,512,0.219136,1224.97,1.0537,254.756
768,768,768,0.259072,3496.98,0.89088,1016.94
1024,1024,1024,0.416768,5152.71,0.659456,3256.45
1280,1280,1280,0.442368,9481.48,1.08749,3856.87
1536,1536,1536,1.06086,6831.94,1.01786,7120.61
1792,1792,1792,1.17248,9816.09,1.16941,9841.88
2048,2048,2048,2.08486,8240.28,1.18477,14500.6
2304,2304,2304,2.2272,10982.9,1.15507,21177.2
2560,2560,2560,3.20614,10465.7,1.08749,30855
2816,2816,2816,4.72371,9454.63,1.52269,29330.3
3072,3072,3072,6.17062,9396.47,1.43462,40416.2
3328,3328,3328,7.3943,9969.71,1.30458,56508.1
3584,3584,3584,8.79411,10469.9,1.67117,55095.2
3840,3840,3840,10.9455,10346.3,1.56979,72140.9
4096,4096,4096,12.3412,11136.6,1.99885,68759.1
4352,4352,4352,15.1439,10885.7,2.05824,80094.1
4608,4608,4608,16.9052,11575.7,2.26918,86237.8
4864,4864,4864,18.5354,12416.8,2.44326,94197.7
5120,5120,5120,25.5263,10516,2.77094,96875.1
5376,5376,5376,25.8038,12042.7,3.0505,101868
5632,5632,5632,24.3005,14702.9,3.26246,109515
5888,5888,5888,34.8201,11724.7,3.62086,112751
6144,6144,6144,30.0657,15428.1,4.15642,111600
