m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.077824,431.158,0.389568,86.1324
512,512,512,0.140384,1912.15,0.344736,778.67
768,768,768,0.2056,4406.47,0.3792,2389.16
1024,1024,1024,0.270592,7936.24,0.46112,4657.1
1280,1280,1280,0.61664,6801.87,0.417312,10050.8
1536,1536,1536,0.741408,9775.67,0.486048,14911.6
1792,1792,1792,1.30694,8806.17,0.560192,20545
2048,2048,2048,1.93674,8870.53,0.6312,27217.8
2304,2304,2304,2.73981,8928.06,0.805088,30383.2
2560,2560,2560,3.60579,9305.7,0.815264,41157.8
2816,2816,2816,4.66464,9574.36,1.1408,39148.8
3072,3072,3072,5.76253,10061.9,1.21811,47599.9
3328,3328,3328,7.07162,10424.6,1.43974,51202.9
3584,3584,3584,8.40672,10952.4,1.64061,56121.5
3840,3840,3840,10.7915,10494,1.95578,57903.5
4096,4096,4096,13.1246,10471.9,1.96838,69823.2
4352,4352,4352,14.2899,11536.3,2.12339,77636.6
4608,4608,4608,16.389,11940.3,2.48646,78701.9
4864,4864,4864,19.3303,11906.1,2.83414,81206.1
5120,5120,5120,21.3595,12567.5,2.99299,89688
5376,5376,5376,25.8192,12035.5,3.64557,85239.8
5632,5632,5632,29.3931,12155.5,4.10752,86983.8
5888,5888,5888,33.1956,12298.5,4.50045,90714.7
6144,6144,6144,38.4705,12057.5,5.09478,91045.4
