m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.075776,442.811,0.31232,107.436
512,512,512,0.140288,1913.46,0.4096,655.36
768,768,768,0.2048,4423.68,0.385024,2353.02
1024,1024,1024,0.269312,7973.96,0.402432,5336.26
1280,1280,1280,0.6144,6826.67,0.40448,10369.6
1536,1536,1536,0.73728,9830.4,0.41472,17476.3
1792,1792,1792,1.29738,8871.11,0.551936,20852.4
2048,2048,2048,1.93741,8867.45,0.603136,28484.2
2304,2304,2304,2.74227,8920.04,0.844768,28956.1
2560,2560,2560,3.06787,10937.4,0.940032,35695
2816,2816,2816,4.6551,9593.97,1.04858,42592
3072,3072,3072,5.78765,10018.2,1.28,45298.5
3328,3328,3328,7.06355,10436.5,1.38752,53130.1
3584,3584,3584,8.43981,10909.4,1.60358,57417.2
3840,3840,3840,10.7889,10496.6,1.9456,58206.3
4096,4096,4096,13.4318,10232.3,1.86259,73789.1
4352,4352,4352,16.2713,10131.5,2.35213,70086.7
4608,4608,4608,18.3726,10651.2,2.44838,79926
